<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MWG,20190906,116.20,117.40,115.20,117.00,446190
MWG,20190905,118.00,118.00,115.00,116.20,873420
MWG,20190904,117.30,118.40,117.20,117.90,478350
MWG,20190903,117.30,118.30,117.00,117.60,672220
MWG,20190830,115.00,117.20,115.00,116.90,646070
MWG,20190829,113.80,115.00,113.10,115.00,339460
MWG,20190828,114.00,114.00,112.30,113.80,598140
MWG,20190827,117.30,117.50,111.50,114.00,1894440
MWG,20190826,115.20,117.90,115.20,116.40,1035590
MWG,20190823,117.50,118.00,115.00,116.50,1033040
MWG,20190822,120.50,120.50,117.50,117.50,1036330
MWG,20190821,120.00,121.90,119.30,120.30,817580
MWG,20190820,118.20,120.00,118.00,120.00,539450
MWG,20190819,117.80,118.80,115.30,117.90,1147930
MWG,20190816,120.80,122.40,117.30,117.30,1469190
MWG,20190815,117.80,120.00,116.80,120.00,926680
MWG,20190814,118.60,119.50,118.20,118.90,726650
MWG,20190813,116.50,118.40,115.00,117.80,911770
MWG,20190812,115.90,118.00,114.60,117.00,714330
MWG,20190809,113.40,115.90,112.90,115.90,673570
MWG,20190808,114.50,115.00,112.70,113.00,862840
MWG,20190807,106.90,114.20,110.00,114.00,1280730
MWG,20190806,106.90,110.80,106.90,110.00,990630
MWG,20190805,108.00,111.40,107.70,109.50,1309220
MWG,20190802,107.50,108.50,107.00,108.00,799720
MWG,20190801,106.30,108.50,105.60,108.50,875760
MWG,20190731,103.20,107.00,103.20,106.80,684050
MWG,20190730,105.50,107.00,103.70,103.70,1014250
MWG,20190729,107.20,107.20,103.90,106.00,1919130
MWG,20190726,108.00,108.50,105.80,106.70,1174450
MWG,20190725,107.40,108.50,106.50,107.90,918260
MWG,20190724,109.00,109.70,107.40,107.40,778010
MWG,20190723,106.50,108.90,106.30,108.90,897670
MWG,20190722,106.00,107.50,105.20,106.50,859840
MWG,20190719,104.50,106.00,104.00,105.90,1097520
MWG,20190718,101.50,103.90,100.90,103.90,1109730
MWG,20190717,102.20,102.60,101.50,101.60,598590
MWG,20190716,101.20,102.70,101.00,102.20,716650
MWG,20190715,98.00,102.00,98.10,101.20,1558100
MWG,20190712,98.00,99.20,97.10,98.10,708120
MWG,20190711,98.50,99.30,98.00,98.00,703060
MWG,20190710,97.30,99.50,97.30,98.40,1046150
MWG,20190709,94.60,97.00,93.90,97.00,962970
MWG,20190708,95.00,95.30,94.10,94.30,716580
MWG,20190705,95.20,95.70,94.90,95.40,618980
MWG,20190704,95.10,96.60,95.40,95.50,648430
MWG,20190703,95.10,96.00,95.00,95.60,855880
MWG,20190702,95.50,95.80,94.40,95.50,1129010
MWG,20190701,94.70,94.80,93.30,94.70,938140
MWG,20190628,92.80,92.80,90.80,92.80,714920
MWG,20190627,92.10,92.80,90.80,91.00,761170
MWG,20190626,92.80,93.30,91.20,92.80,761460
MWG,20190625,91.40,91.80,90.60,91.80,489060
MWG,20190624,91.90,92.50,90.70,91.40,774060
MWG,20190621,90.80,91.90,90.80,91.00,516880
MWG,20190620,89.00,91.60,88.80,90.70,1146920
MWG,20190619,88.60,89.50,88.40,88.60,378510
MWG,20190618,87.90,88.40,87.70,88.30,409820
