<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VCB,20190906,78.00,78.00,77.00,77.30,287990
VCB,20190905,77.20,78.80,77.20,77.60,408900
VCB,20190904,77.50,77.50,76.90,77.30,527770
VCB,20190903,77.80,77.90,76.70,77.80,580830
VCB,20190830,76.90,77.70,77.00,77.70,280130
VCB,20190829,76.90,77.40,76.50,76.80,422240
VCB,20190828,76.80,77.30,76.80,77.00,588810
VCB,20190827,78.20,78.80,76.00,76.50,1116480
VCB,20190826,78.20,78.60,77.50,77.80,672220
VCB,20190823,80.00,80.20,79.20,79.20,451500
VCB,20190822,80.20,80.40,79.60,80.00,762090
VCB,20190821,76.90,80.30,76.70,80.00,1927720
VCB,20190820,77.80,77.80,76.70,76.90,453760
VCB,20190819,77.90,78.50,76.70,76.80,692740
VCB,20190816,77.80,78.60,77.80,77.90,551180
VCB,20190815,74.60,79.00,74.60,79.00,510330
VCB,20190814,78.00,78.00,76.30,76.30,354750
VCB,20190813,77.20,77.50,75.90,76.30,809300
VCB,20190812,78.50,78.80,77.20,77.70,475000
VCB,20190809,78.70,79.40,78.40,78.50,638630
VCB,20190808,78.50,79.80,78.10,78.50,612530
VCB,20190807,76.30,78.40,76.30,78.40,567830
VCB,20190806,76.40,76.90,75.80,76.30,1172520
VCB,20190805,79.20,79.70,77.10,77.40,857570
VCB,20190802,79.70,80.50,79.10,79.10,680000
VCB,20190801,80.20,80.50,79.70,80.50,538850
VCB,20190731,80.00,80.50,79.60,80.20,512820
VCB,20190730,82.00,82.50,80.60,80.60,1133490
VCB,20190729,78.50,81.00,78.30,81.00,986830
VCB,20190726,77.70,79.70,77.50,78.50,942260
VCB,20190725,76.90,77.80,76.70,77.70,457360
VCB,20190724,79.50,79.50,76.50,76.90,1380620
VCB,20190723,78.90,79.30,78.50,78.90,626060
VCB,20190722,79.00,79.50,78.70,79.00,930520
VCB,20190719,75.90,79.80,76.40,79.00,1316760
VCB,20190718,75.90,77.20,75.60,76.40,858680
VCB,20190717,76.50,77.10,75.80,76.20,802350
VCB,20190716,75.50,78.00,75.40,77.20,1901200
VCB,20190715,74.00,75.00,73.70,75.00,1089930
VCB,20190712,74.00,74.50,73.60,73.70,926210
