<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VIC,20190906,122.00,123.00,121.00,121.10,280330
VIC,20190905,122.90,123.40,122.00,122.00,303110
VIC,20190904,123.00,123.50,121.70,122.40,385500
VIC,20190903,123.50,124.40,122.20,123.00,174400
VIC,20190830,123.50,123.90,122.00,123.50,220710
VIC,20190829,123.50,123.50,121.10,122.50,350460
VIC,20190828,122.20,123.50,121.90,122.00,242730
VIC,20190827,124.90,125.70,122.50,122.50,397260
VIC,20190826,125.00,125.00,123.40,124.80,355930
VIC,20190823,126.10,126.10,124.60,125.00,513250
VIC,20190822,123.00,126.50,122.70,126.10,671970
VIC,20190821,121.00,122.50,121.00,122.40,252820
VIC,20190820,121.90,122.50,121.00,121.00,206540
VIC,20190819,122.50,122.50,121.50,121.90,211950
VIC,20190816,119.60,122.30,119.60,122.00,347380
VIC,20190815,117.00,121.00,117.00,121.00,327120
VIC,20190814,119.50,120.00,118.20,118.60,302420
VIC,20190813,119.90,120.00,118.00,118.10,310330
VIC,20190812,120.20,121.20,120.00,120.00,107460
VIC,20190809,122.00,122.50,120.20,120.20,400990
VIC,20190808,118.00,122.50,118.00,122.00,545170
VIC,20190807,116.00,120.20,117.60,118.00,345950
VIC,20190806,116.00,119.80,115.50,119.80,441590
VIC,20190805,122.10,122.10,118.00,118.00,760020
VIC,20190802,122.00,123.10,121.90,122.50,483120
VIC,20190801,123.00,124.50,122.50,124.40,365850
VIC,20190731,122.50,123.20,120.20,122.00,406490
VIC,20190730,124.40,125.00,122.00,122.50,366670
VIC,20190729,123.00,124.40,122.10,124.40,566870
VIC,20190726,122.70,123.30,121.60,122.10,416560
VIC,20190725,120.60,125.10,120.60,123.20,740440
VIC,20190724,120.50,122.20,120.20,122.00,661870
VIC,20190723,116.50,120.30,116.50,119.80,1502160
VIC,20190722,116.00,116.50,115.00,116.50,395900
VIC,20190719,115.00,116.00,114.80,116.00,476260
VIC,20190718,115.00,115.90,114.80,114.80,454560
VIC,20190717,116.00,116.30,115.00,115.50,213640
VIC,20190716,115.00,116.50,114.20,115.90,473360
VIC,20190715,116.90,116.20,113.80,114.20,514900
VIC,20190712,116.90,117.00,116.00,116.00,169920
VIC,20190711,117.30,117.50,115.60,116.50,363380
VIC,20190710,117.00,117.50,116.50,116.80,377060
VIC,20190709,116.00,116.10,115.20,116.00,187330
VIC,20190708,116.50,116.70,115.80,116.00,285840
VIC,20190705,116.00,116.80,115.80,116.70,307400
VIC,20190704,115.50,116.50,115.00,116.50,265260
VIC,20190703,115.50,116.00,114.30,115.40,260170
VIC,20190702,115.80,117.30,115.80,115.80,268150
VIC,20190701,116.70,117.20,116.10,117.20,562110
VIC,20190628,115.70,115.90,113.70,115.70,468590
VIC,20190627,117.00,117.00,114.90,114.90,398280
VIC,20190626,116.90,117.00,116.00,116.90,515020
VIC,20190625,116.50,117.20,116.30,116.40,510700
VIC,20190624,115.00,116.60,115.00,116.40,228390
VIC,20190621,114.50,116.80,114.50,114.50,594210
VIC,20190620,116.20,117.10,115.60,116.00,317480
VIC,20190619,115.90,115.90,114.50,115.90,135220
VIC,20190618,114.70,115.00,113.80,114.00,433860
VIC,20190617,115.90,116.50,113.80,114.50,415390
VIC,20190614,116.00,116.00,114.30,115.50,350180
VIC,20190613,115.20,115.90,115.20,115.50,267940
VIC,20190612,117.00,117.50,116.00,116.00,258350
VIC,20190611,117.60,117.80,117.00,117.00,308910
VIC,20190610,117.20,118.70,117.20,117.60,955890
VIC,20190607,116.60,117.00,116.10,117.00,286940
VIC,20190606,115.90,115.90,114.40,115.90,167500
VIC,20190605,115.00,115.90,115.00,115.90,244400
VIC,20190604,113.60,115.40,113.60,114.60,262740
VIC,20190603,114.00,115.50,113.00,114.50,281510
VIC,20190531,115.80,115.80,114.60,114.60,296610
VIC,20190530,115.20,116.20,115.00,115.00,572810
VIC,20190529,114.90,115.40,114.00,115.20,357950
VIC,20190528,116.00,116.00,114.00,114.00,503270
VIC,20190527,114.00,115.90,114.00,115.00,166080
VIC,20190524,115.50,116.20,114.30,115.00,628560
VIC,20190523,117.00,117.60,116.20,117.00,249830
VIC,20190522,117.20,118.10,116.00,117.50,382330
VIC,20190521,118.70,118.70,116.30,117.50,708620
VIC,20190520,117.00,117.50,116.10,117.50,406340
VIC,20190517,117.00,118.10,116.10,116.90,464260
VIC,20190516,115.30,118.90,115.30,116.90,773010
VIC,20190515,113.50,116.20,113.40,115.30,456790
VIC,20190514,112.00,113.50,111.90,113.50,539280
VIC,20190513,111.90,112.90,111.70,112.90,439200
VIC,20190510,112.60,113.00,112.20,112.70,289160
VIC,20190509,112.70,112.70,111.60,112.60,314140
VIC,20190508,111.50,112.70,111.40,112.60,348500
VIC,20190507,112.20,113.30,111.00,112.60,421350
VIC,20190506,112.00,112.30,110.20,112.20,290580
VIC,20190503,113.70,113.70,112.10,112.50,705500
VIC,20190502,113.80,113.90,113.00,113.60,190970
VIC,20190426,112.00,113.70,112.00,113.70,826050
VIC,20190425,113.80,113.80,112.00,113.60,503490
VIC,20190424,113.00,114.00,112.10,113.80,447820
VIC,20190423,111.90,113.00,111.00,113.00,534660
VIC,20190422,109.00,111.90,107.00,111.90,794060
VIC,20190419,110.00,110.60,108.20,110.10,414050
VIC,20190418,109.50,110.00,105.00,109.00,891240
VIC,20190417,111.30,113.00,110.00,110.00,960220
VIC,20190416,109.50,113.10,108.00,113.10,1231190
VIC,20190412,115.00,115.00,113.00,113.20,551990
VIC,20190411,111.80,115.00,111.80,115.00,350810
VIC,20190410,113.00,114.00,110.90,111.80,696000
VIC,20190409,116.00,116.00,112.80,113.00,1156710
VIC,20190408,115.20,115.80,114.80,115.50,435190
VIC,20190405,115.30,115.40,114.60,115.10,235790
VIC,20190404,115.30,115.80,114.10,115.10,383730
VIC,20190403,115.50,116.00,114.50,114.90,464270
VIC,20190402,116.90,117.20,116.20,116.30,1036350
VIC,20190401,116.40,116.50,115.80,116.50,828430
VIC,20190329,115.90,116.80,115.90,115.90,1099970
VIC,20190328,113.90,115.90,113.90,115.90,561880
VIC,20190327,115.00,115.90,113.90,113.90,772080
VIC,20190326,115.50,116.80,113.00,113.70,846570
VIC,20190325,117.00,117.30,115.00,115.20,886800
VIC,20190322,117.00,118.90,117.00,118.60,1114660
VIC,20190321,120.00,120.30,117.00,117.00,1208480
VIC,20190320,121.00,121.00,119.10,120.20,780190
VIC,20190319,121.30,122.40,120.70,121.00,1190080
VIC,20190318,120.00,121.30,119.10,121.30,1114570
VIC,20190315,119.30,119.30,117.90,118.70,1704580
VIC,20190314,116.50,118.80,115.60,118.80,1155340
VIC,20190313,118.50,120.00,117.00,117.50,1262350
VIC,20190312,119.00,119.40,118.20,118.60,902200
VIC,20190311,117.00,118.30,117.00,118.30,429390
VIC,20190308,119.00,119.60,118.10,118.10,845280
VIC,20190307,117.90,122.50,117.80,119.20,1797980
VIC,20190306,117.70,117.70,117.10,117.70,377280
VIC,20190305,117.40,117.80,116.90,117.30,706060
VIC,20190304,116.70,117.60,115.80,117.40,660550
VIC,20190301,114.00,117.00,114.00,115.10,739260
VIC,20190228,117.00,117.40,113.10,114.00,1132410
VIC,20190227,115.50,117.90,115.50,117.40,824620
VIC,20190226,116.00,116.60,113.50,115.50,792710
VIC,20190225,117.00,117.90,115.90,116.30,624890
VIC,20190222,118.00,118.40,116.60,117.00,720970
VIC,20190221,116.50,118.40,116.30,118.40,1162700
VIC,20190220,115.20,116.90,115.20,116.50,678800
VIC,20190219,113.50,116.60,113.50,116.00,1002020
VIC,20190218,112.50,113.70,111.70,113.70,829150
VIC,20190215,113.00,113.00,112.00,112.00,670900
VIC,20190214,109.00,113.00,109.00,112.90,995310
VIC,20190213,108.00,109.30,107.20,109.00,822040
VIC,20190212,104.90,109.10,104.00,109.10,769110
VIC,20190211,101.80,104.00,101.20,104.00,527310
VIC,20190201,103.80,103.80,98.80,98.80,2095840
VIC,20190131,104.00,104.50,102.50,103.90,651020
VIC,20190130,103.90,104.00,102.90,103.90,370040
VIC,20190129,104.90,104.90,103.00,103.90,225310
VIC,20190128,102.90,103.70,102.60,103.70,381260
VIC,20190125,102.80,103.50,102.20,102.90,306670
VIC,20190124,102.50,102.90,102.20,102.80,184720
VIC,20190123,102.00,103.70,102.00,102.60,299570
VIC,20190122,102.40,102.40,101.50,102.40,258070
VIC,20190121,102.20,102.40,101.30,102.40,404250
VIC,20190118,101.50,102.20,100.90,102.20,498290
VIC,20190117,102.00,102.20,100.70,102.00,325130
VIC,20190116,101.50,102.10,100.80,102.00,518160
VIC,20190115,101.40,101.50,100.40,101.50,711450
VIC,20190114,101.30,101.90,100.20,101.40,562930
VIC,20190111,101.00,101.40,100.10,101.40,569030
VIC,20190110,101.20,101.50,100.00,101.40,551980
VIC,20190109,101.00,101.90,99.00,101.50,659210
VIC,20190108,102.00,102.00,99.70,101.00,494300
VIC,20190107,100.90,103.00,99.90,101.00,589150
VIC,20190104,100.00,100.70,98.00,100.60,458000
VIC,20190103,100.00,100.30,98.20,100.30,496950
VIC,20190102,101.20,101.30,97.50,100.40,602450
VIC,20181228,103.30,103.40,95.30,95.30,381320
VIC,20181227,101.00,102.90,101.00,102.40,690680
VIC,20181226,101.00,101.90,101.00,101.90,367750
VIC,20181225,100.10,101.90,100.10,101.90,293610
VIC,20181224,102.00,102.20,101.30,102.00,216960
VIC,20181221,100.50,102.00,100.00,102.00,791040
VIC,20181220,101.00,102.00,100.80,101.90,387370
VIC,20181219,102.00,102.30,100.50,102.00,506600
VIC,20181218,101.80,102.00,100.00,102.00,531470
VIC,20181217,102.00,102.70,101.90,102.50,205950
VIC,20181214,102.20,103.00,101.60,102.70,234660
VIC,20181213,102.50,103.90,101.80,102.80,488820
VIC,20181212,102.20,102.40,102.00,102.20,403320
VIC,20181211,102.10,102.20,101.40,102.20,457470
VIC,20181210,102.00,102.20,101.10,102.10,806730
VIC,20181207,102.10,102.20,101.50,102.20,460960
VIC,20181206,102.10,102.20,101.10,102.10,251610
VIC,20181205,101.90,102.20,101.00,102.10,461240
VIC,20181204,102.40,102.40,101.60,102.00,966490
VIC,20181203,101.80,103.00,101.30,101.90,262710
VIC,20181130,101.00,102.00,97.50,101.70,1024240
VIC,20181129,102.50,103.00,101.70,102.00,367130
VIC,20181128,101.50,102.00,100.80,102.00,577600
VIC,20181127,100.50,103.20,100.50,101.50,467400
VIC,20181126,99.00,100.50,98.00,100.50,642520
VIC,20181123,98.80,99.00,97.00,99.00,1055870
VIC,20181122,97.20,98.00,96.50,98.00,1345610
VIC,20181121,97.00,97.30,95.00,97.30,1609020
VIC,20181120,94.70,97.20,94.70,97.20,1470120
VIC,20181119,90.10,96.40,90.10,96.40,1553130
VIC,20181116,91.70,92.50,89.80,90.10,895700
VIC,20181115,94.70,94.70,90.90,91.70,689540
VIC,20181114,93.60,95.10,93.40,94.70,450950
VIC,20181113,94.80,95.00,93.30,93.30,598800
VIC,20181112,95.80,96.00,95.50,95.90,720990
VIC,20181109,95.00,96.00,95.00,95.90,602570
