<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNM,20190906,122.00,123.10,122.00,122.80,315980
VNM,20190905,124.20,124.20,122.00,122.00,587180
VNM,20190904,124.00,124.00,122.60,123.80,405800
VNM,20190903,123.00,124.30,123.00,124.00,744840
VNM,20190830,120.00,124.20,122.70,123.00,797090
VNM,20190829,120.00,123.00,119.80,123.00,561530
VNM,20190828,120.00,120.10,119.20,119.40,521700
VNM,20190827,121.50,121.80,119.00,119.00,943130
VNM,20190826,122.00,122.20,120.20,120.50,839870
VNM,20190823,124.10,124.20,123.00,123.00,621830
VNM,20190822,123.90,124.30,123.80,124.00,525610
VNM,20190821,124.00,124.30,123.50,123.90,580860
VNM,20190820,124.90,124.90,124.10,124.40,787020
VNM,20190819,124.50,125.20,124.40,124.90,758210
VNM,20190816,121.00,125.70,120.50,124.10,1074270
VNM,20190815,117.30,122.00,117.30,122.00,673120
VNM,20190814,119.20,119.90,118.70,118.70,677360
VNM,20190813,120.00,120.20,118.00,118.00,1178780
VNM,20190812,121.00,121.00,120.40,120.60,442330
VNM,20190809,120.90,121.70,120.80,121.00,726150
VNM,20190808,121.00,121.60,120.20,120.90,570640
VNM,20190807,121.00,121.80,120.20,121.00,731780
VNM,20190806,121.00,121.00,119.20,120.20,938500
VNM,20190805,123.50,124.40,122.00,122.00,882750
VNM,20190802,123.50,124.20,123.30,124.00,471510
VNM,20190801,123.50,124.50,123.20,124.20,502790
VNM,20190731,123.50,124.00,122.90,123.20,816150
VNM,20190730,125.00,125.60,123.50,123.50,921500
VNM,20190729,124.10,124.40,123.00,123.50,1095840
VNM,20190726,125.30,125.90,124.50,124.50,526110
VNM,20190725,125.00,125.50,125.00,125.10,686030
VNM,20190724,126.00,126.90,125.20,125.60,593800
VNM,20190723,125.50,125.60,124.80,125.40,764550
VNM,20190722,126.50,126.50,125.50,125.50,721980
VNM,20190719,125.00,127.10,124.60,126.90,1381230
VNM,20190718,125.00,125.40,124.50,124.60,707720
VNM,20190717,124.00,125.90,123.90,125.40,965170
VNM,20190716,123.80,124.20,123.50,124.00,512540
VNM,20190715,125.20,124.00,123.20,123.20,703320
VNM,20190712,125.20,125.30,124.00,124.00,370730
VNM,20190711,125.50,125.50,125.00,125.20,277200
VNM,20190710,125.00,125.50,124.80,125.00,420940
VNM,20190709,124.20,125.00,123.60,125.00,951440
VNM,20190708,125.70,125.70,124.00,124.20,969080
VNM,20190705,126.20,126.60,125.70,126.20,520290
VNM,20190704,125.20,126.60,126.10,126.20,613870
VNM,20190703,125.20,126.30,124.80,126.00,657870
VNM,20190702,125.10,126.10,124.60,125.10,716810
VNM,20190701,123.00,125.10,123.00,125.00,991440
VNM,20190628,123.00,123.20,121.50,123.00,919970
VNM,20190627,123.10,123.80,122.90,123.10,802160
VNM,20190626,123.50,123.90,123.00,123.50,497730
VNM,20190625,123.10,124.20,123.10,123.40,704890
VNM,20190624,125.90,125.90,123.10,123.10,615090
VNM,20190621,125.50,125.50,123.30,125.50,2613920
VNM,20190620,123.50,123.50,123.10,123.30,1010200
VNM,20190619,123.40,123.70,123.00,123.40,929690
VNM,20190618,123.00,123.70,123.00,123.00,1039070
VNM,20190617,123.70,123.80,122.80,123.70,632730
VNM,20190614,123.00,124.20,122.90,123.70,665880
VNM,20190613,125.20,125.20,122.80,123.20,1125310
VNM,20190612,125.20,125.80,125.10,125.20,699880
VNM,20190611,127.00,127.00,125.40,125.50,565400
VNM,20190610,127.00,127.80,125.90,126.90,561260
VNM,20190607,126.30,127.40,126.30,126.60,362030
VNM,20190606,127.50,127.80,125.90,126.50,548650
VNM,20190605,128.60,129.20,127.00,127.50,358780
VNM,20190604,127.00,127.50,126.51,127.10,472650
VNM,20190603,127.99,128.58,125.62,126.51,717990
VNM,20190531,129.87,130.27,127.99,127.99,711390
VNM,20190530,131.25,131.45,129.97,129.97,542710
VNM,20190529,130.86,132.14,130.26,131.35,271730
VNM,20190528,132.44,132.93,130.17,130.46,608790
VNM,20190527,129.47,132.44,128.39,132.44,320060
VNM,20190524,129.47,131.94,128.88,128.98,765150
VNM,20190523,129.67,131.45,129.67,130.56,429290
VNM,20190522,132.43,133.42,130.36,130.56,619370
VNM,20190521,135.41,135.41,131.95,131.94,762310
VNM,20190520,133.43,136.00,133.13,135.90,450900
VNM,20190517,134.91,134.91,133.92,134.02,435380
VNM,20190516,133.72,134.81,133.43,134.81,702130
VNM,20190515,133.92,134.81,132.83,134.02,355850
VNM,20190514,130.66,134.81,130.66,133.92,1097910
VNM,20190513,128.28,132.34,128.28,132.34,974030
VNM,20190510,127.00,128.58,127.00,128.58,366690
VNM,20190509,127.00,127.60,126.51,126.70,287680
VNM,20190508,126.61,127.59,126.51,126.51,628830
VNM,20190507,128.38,128.48,127.69,127.99,723470
VNM,20190506,128.78,128.78,126.51,127.59,368910
VNM,20190503,129.47,129.47,128.38,129.47,486390
VNM,20190502,128.49,129.57,128.19,128.48,736990
